,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09
"New York City, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.003,0.0,3.003,0.0,6.006,3.003,21.021,6.006,18.018,51.051,45.045,132.132,177.17700000000002,342.342,183.183,402.40200000000004,546.546,2096.094,3402.3990000000003,5831.825999999999,5426.421,8525.517,9801.792000000001,7849.842000000004,15369.354,9372.362999999998,6987.981,16246.229999999996,9201.19200000001,13189.175999999992,15444.429000000004,13201.187999999995,13471.458000000013,16639.622999999992,19017.99900000001,13369.356,14495.481,14849.834999999992,15540.524999999994,16378.361999999994,16741.725000000035,18432.41399999999,15312.29700000002,11312.300999999978,11789.777999999991,24087.063000000024,14924.909999999974,13153.140000000014,12159.146999999997,9963.954000000027,7540.532999999996,8005.997999999963,9729.72000000003,10630.619999999995,14276.261999999988,14324.309999999998,9774.765000000014,7078.070999999996,6078.071999999986,7918.911000000022,7987.979999999981,6447.44100000005,7684.676999999909,6720.714000000036,3921.9180000000633,3855.8519999999553,4360.356000000029,5654.648999999976,4516.511999999988,4522.51800000004,2981.978999999934,2672.670000000042,2324.3220000000438,3225.2219999999506,3810.80700000003,5432.426999999909,3030.027000000002,3018.015000000014,1885.8840000000782,1789.7879999999423,2048.045999999973,3348.3450000000885,2375.372999999905,2294.292000000016,2609.6070000000764,1915.9139999999898,1627.625999999931,2012.0100000000093,3222.219000000041,2840.837999999989,2219.216999999946,1639.6380000000354,1396.3950000000186,1936.9350000000559,1480.4789999999339,1618.6169999999693,1504.503000000026,1639.6380000000354,1363.3619999999646,1183.1820000000298,1042.0409999999683,1246.2449999999953,1162.16100000008,1309.3079999999609,1606.6049999999814,1156.155000000028,1153.1520000000019,993.9930000000168,1033.0320000000065,981.9809999999125,1225.2240000000456,1147.1459999999497,1159.158000000054,894.8939999999711,948.9479999999749,858.8580000000075,1021.0200000000186,1111.109999999986,1075.0740000000224,972.9719999999506,567.5670000000391,522.5219999999972,897.8969999999972,1273.2719999999972,1384.3830000000307,1102.1010000000242,726.7260000000242,735.734999999986,822.8219999999274,864.8640000000596,837.8369999999413,1066.0650000000605,912.9120000000112,1030.0289999999804,756.7559999999357,948.9480000000913,1108.10699999996,1150.1489999999758,1108.10699999996,1156.155000000028,915.9150000000373,852.8519999999553,1174.173000000068,1054.0529999999562,1162.1609999999637,1096.0950000000885,1015.0139999999665,675.6750000000466,885.8849999998929,597.597000000067,894.8939999999711,942.9420000000391,849.8489999999292,939.939000000013,789.7889999999898,714.7140000000363,948.9479999999749,912.9120000000112,996.9960000000428,1027.0259999999544,987.987000000081,738.7379999998957
"Anchorage, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.226,0.0,0.0,0.0,0.0,2.226,4.452,0.0,0.0,2.225999999999999,2.226000000000001,24.485999999999997,0.0,24.486000000000004,11.129999999999995,22.260000000000005,24.48599999999999,11.13000000000001,4.451999999999998,8.903999999999996,4.451999999999998,-2.225999999999999,15.581999999999994,17.80800000000002,8.903999999999996,6.677999999999997,22.25999999999999,11.129999999999995,13.355999999999995,6.678000000000026,20.033999999999992,13.355999999999995,8.903999999999996,11.129999999999995,6.677999999999997,8.903999999999996,15.581999999999994,2.225999999999999,6.677999999999997,2.225999999999999,11.129999999999995,8.904000000000053,4.451999999999998,4.451999999999998,0.0,0.0,6.677999999999997,8.903999999999996,8.903999999999996,0.0,13.355999999999995,0.0,4.451999999999998,4.451999999999998,2.225999999999999,0.0,2.225999999999999,6.677999999999997,0.0,0.0,2.225999999999999,2.225999999999999,0.0,6.677999999999997,2.225999999999999,4.451999999999998,4.451999999999998,4.451999999999998,0.0,2.225999999999999,0.0,0.0,0.0,0.0,0.0,6.677999999999997,0.0,8.903999999999996,4.451999999999998,2.225999999999999,33.39000000000004,6.677999999999997,33.389999999999986,17.807999999999993,11.129999999999995,33.389999999999986,8.903999999999996,15.581999999999994,24.48599999999999,11.129999999999995,20.033999999999992,17.808000000000106,20.033999999999992,17.807999999999993,13.355999999999995,2.225999999999999,17.807999999999993,8.903999999999996,8.903999999999996,17.807999999999993,20.033999999999992,15.581999999999994,6.677999999999997,26.71199999999999,20.033999999999992,22.25999999999999,20.033999999999992,24.48599999999999,33.3900000000001,17.80799999999988,48.97199999999998,42.294000000000096,35.615999999999985,46.746000000000095,80.13599999999997,51.197999999999865,40.067999999999984,33.3900000000001,46.746000000000095,46.74599999999987,51.19800000000009,77.90999999999985,77.91000000000008,97.94399999999996,62.327999999999975,80.13599999999997,57.876000000000204,62.32799999999975,82.36200000000008,86.81399999999985,129.10800000000017,153.59400000000005,95.71799999999985,69.00600000000031,69.00599999999986,115.75199999999995,351.7080000000001,144.69000000000005,195.88799999999992,115.75199999999995,95.71799999999985,184.75800000000027,247.08600000000024,242.63400000000001,95.71799999999985,91.26599999999962,86.8140000000003,51.19799999999941,62.32800000000043,129.10800000000017,131.33399999999983
"Elmore, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.083,0.0,0.0,0.0,3.083,6.166,3.083,3.083,0.0,0.0,0.0,6.166,3.0829999999999984,3.083000000000002,6.166,3.0829999999999984,0.0,0.0,-3.0829999999999984,9.249000000000002,6.165999999999997,6.166000000000004,0.0,0.0,3.0829999999999984,6.166000000000004,6.165999999999997,15.415000000000006,3.0829999999999984,0.0,9.248999999999995,12.332000000000008,18.498000000000005,18.49799999999999,15.414999999999992,0.0,12.332000000000022,15.414999999999992,15.414999999999992,15.41500000000002,3.0829999999999984,0.0,0.0,9.248999999999995,6.165999999999997,0.0,9.248999999999995,6.166000000000025,6.165999999999997,6.165999999999997,15.414999999999964,30.83000000000004,24.663999999999987,30.829999999999984,0.0,18.49799999999999,9.249000000000024,15.41500000000002,46.245000000000005,6.165999999999997,12.331999999999994,3.08299999999997,36.99600000000004,27.746999999999957,30.83000000000004,12.331999999999994,15.414999999999964,30.83000000000004,58.577,36.99599999999998,12.331999999999994,40.079000000000065,24.663999999999987,21.581000000000017,67.82600000000002,24.663999999999987,40.07899999999995,30.83000000000004,49.32800000000009,46.24499999999989,58.577,33.91300000000001,-3.0830000000000837,6.166000000000167,21.580999999999904,61.66000000000008,30.829999999999927,49.327999999999975,33.91300000000001,30.829999999999927,73.99200000000019,46.24499999999989,52.41100000000006,80.1579999999999,58.577,64.74300000000017,24.663999999999987,83.24099999999999,92.49000000000001,52.41100000000006,30.8299999999997,52.41100000000006,36.996000000000095,55.49400000000014,73.99199999999973,43.16200000000026,86.32400000000007,9.248999999999796,67.82600000000002,33.91300000000001,21.58100000000013,61.659999999999854,83.24099999999999,120.23700000000008,67.82600000000002,55.49400000000014,61.659999999999854,43.16199999999981,49.327999999999975,61.66000000000031,67.82600000000002,120.23700000000008,40.07899999999972,83.24099999999999,52.41100000000006,98.65599999999995,61.66000000000031,181.89699999999993,83.24099999999999,73.99199999999973,70.9090000000001,77.07499999999982,181.89699999999993,80.15800000000036,129.48599999999988,24.66399999999976,89.40700000000015,30.829999999999927,58.577000000000226,67.82600000000002,110.98800000000028,55.49399999999969,70.90899999999965,61.660000000000764,77.07499999999982,21.58100000000013,129.48599999999988,92.48999999999978,70.90900000000056,24.66399999999976
"Jefferson, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.018,12.035999999999998,21.063,12.036000000000001,12.036000000000001,12.035999999999994,27.081000000000003,48.14399999999999,33.09900000000002,30.089999999999975,45.13500000000002,15.045000000000016,114.34199999999998,132.39600000000002,18.053999999999974,105.31499999999994,96.28800000000001,33.099000000000046,75.22500000000002,69.207,81.24299999999994,111.33299999999997,21.063000000000102,126.37799999999993,60.180000000000064,69.20699999999988,93.279,93.279,96.28800000000001,72.21600000000012,54.162000000000035,60.179999999999836,9.027000000000044,24.072000000000116,18.05399999999986,33.09899999999993,84.25200000000018,27.080999999999904,18.054000000000087,36.10799999999972,132.39600000000019,102.30600000000004,57.17099999999982,93.279,33.09900000000016,0.0,66.19799999999987,60.18000000000029,15.044999999999618,129.38700000000017,51.15300000000025,69.20699999999988,69.20699999999988,84.25199999999995,84.25199999999995,51.15300000000025,87.26099999999997,45.13499999999976,36.108000000000175,30.090000000000146,66.19799999999987,138.41399999999976,114.3420000000001,63.18899999999985,123.36900000000014,102.30600000000004,66.19799999999987,36.108000000000175,198.59400000000005,108.32399999999961,87.26100000000042,231.6930000000002,117.35099999999966,48.14400000000023,45.13499999999931,84.25200000000041,117.35099999999966,96.28800000000047,108.32399999999961,171.51299999999992,147.4410000000007,75.22499999999945,6.018000000000029,54.16200000000026,78.23399999999947,162.4860000000008,177.53099999999995,117.35099999999966,159.47699999999986,171.51299999999992,189.567,273.8190000000004,213.63900000000012,195.58500000000004,186.558,195.58500000000004,153.45899999999983,186.558,258.77399999999943,204.612000000001,252.7559999999994,246.73799999999937,225.6750000000011,264.79199999999946,439.3140000000003,451.35000000000036,370.10699999999997,234.70199999999932,1113.33,478.4310000000005,535.601999999999,436.3050000000003,818.4480000000003,427.27800000000025,833.4930000000004,568.7010000000009,231.6929999999993,610.8269999999975,1056.1589999999997,574.719000000001,664.9890000000014,959.8709999999992,806.4120000000003,523.5659999999989,827.4750000000022,1083.239999999998,905.7089999999989,896.6820000000007,731.1870000000017,785.3489999999983,562.6830000000009,631.8899999999994,830.4840000000004,794.3760000000002,890.6640000000007,508.52100000000064,487.4579999999987,445.3319999999985,397.1880000000019,794.3759999999966,815.4390000000058,896.6819999999934,559.6740000000063,631.8899999999994,550.6469999999972,448.34100000000035,968.898000000001,827.4749999999985,683.0429999999978,424.26900000000023
"Limestone, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3819999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.145999999999999,6.763999999999999,23.673999999999996,10.146,0.0,0.0,13.527999999999992,6.76400000000001,3.381999999999991,6.76400000000001,16.909999999999997,3.381999999999991,3.382000000000005,3.382000000000005,-3.382000000000005,0.0,10.146,3.381999999999991,0.0,3.382000000000005,0.0,0.0,3.382000000000005,0.0,6.763999999999982,0.0,0.0,0.0,0.0,-6.763999999999982,6.763999999999982,3.382000000000005,0.0,0.0,3.382000000000005,6.76400000000001,0.0,0.0,0.0,0.0,3.382000000000005,6.763999999999982,3.382000000000005,3.382000000000005,16.909999999999997,3.382000000000005,6.763999999999982,0.0,0.0,3.382000000000005,6.76400000000001,6.763999999999982,6.76400000000001,0.0,0.0,3.382000000000005,0.0,13.527999999999992,6.76400000000001,3.3819999999999766,0.0,6.76400000000001,10.146000000000015,16.909999999999968,13.52800000000002,3.382000000000005,16.909999999999968,6.76400000000001,40.584,13.52800000000002,0.0,0.0,0.0,6.76400000000001,30.437999999999988,13.527999999999963,40.584,30.437999999999988,23.673999999999978,37.202,43.96600000000001,74.404,60.875999999999976,37.202,33.82000000000005,20.29200000000003,43.965999999999894,16.910000000000082,16.909999999999968,13.52800000000002,13.52800000000002,33.819999999999936,40.58400000000006,81.16799999999989,57.49400000000014,57.493999999999915,27.05600000000004,118.36999999999989,30.438000000000102,20.291999999999916,71.02199999999993,125.13400000000001,50.73000000000002,47.347999999999956,20.292000000000144,57.493999999999915,23.673999999999978,165.71800000000007,77.78599999999983,87.93200000000002,57.49400000000014,87.93199999999979,87.93200000000024,114.98799999999983,87.93200000000024,131.89799999999968,91.31399999999985,104.8420000000001,118.36999999999989,84.55000000000018,87.93199999999979,60.876000000000204,94.69599999999991,108.22400000000016,16.909999999999854,84.55000000000018,54.11200000000008,108.2239999999997,128.51600000000008,111.60599999999977,33.820000000000164,94.69599999999991,43.96600000000035,40.58399999999983,64.25799999999981,114.98800000000028,94.69599999999991,114.98800000000028,50.72999999999956
"Montgomery, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0569999999999995,0.0,0.0,3.0569999999999995,0.0,0.0,3.0570000000000004,0.0,0.0,0.0,3.0569999999999986,15.284999999999997,12.227999999999998,12.228000000000002,3.056999999999995,0.0,12.228000000000002,21.399,6.11399999999999,12.227999999999994,33.62700000000001,45.85499999999999,6.114000000000004,24.45599999999999,0.0,9.170999999999992,21.399,27.512999999999977,6.114000000000033,42.798,42.797999999999945,88.65300000000002,36.68399999999997,85.596,36.68399999999997,18.341999999999985,30.57000000000005,27.51299999999992,15.285000000000082,42.798,24.455999999999904,30.57000000000005,33.62699999999995,30.57000000000005,15.284999999999968,9.17100000000005,30.569999999999936,48.912000000000035,58.08299999999997,55.02600000000007,73.36799999999994,91.71000000000004,88.65299999999979,55.02600000000007,64.19700000000012,116.16599999999994,55.02599999999984,131.45100000000002,97.82400000000007,103.93799999999987,128.39400000000023,64.19699999999966,146.73600000000033,103.93799999999965,88.65300000000025,21.398999999999887,122.27999999999975,134.50800000000027,265.95899999999983,177.30600000000004,134.5079999999998,155.90700000000015,119.22299999999996,269.0160000000001,336.2699999999995,189.53400000000056,290.41499999999996,149.79299999999967,128.39400000000023,238.4459999999999,207.8760000000002,140.6219999999994,64.19700000000012,110.05199999999968,146.73599999999988,287.3580000000002,186.47699999999986,226.21799999999985,299.58600000000024,213.98999999999978,446.3220000000001,333.21299999999974,311.8140000000003,449.378999999999,244.5600000000013,155.90699999999924,106.9950000000008,320.98499999999876,146.7360000000008,223.16100000000006,110.05199999999968,119.22299999999996,165.07799999999952,275.130000000001,223.16100000000006,168.13500000000022,168.1349999999984,18.342000000000553,449.3790000000008,189.53399999999965,155.90699999999924,106.9950000000008,210.93299999999908,226.21800000000076,324.04199999999946,94.76699999999983,269.0159999999996,85.59600000000137,198.70499999999993,180.36299999999937,100.8809999999994,357.66899999999987,165.07799999999952,275.130000000001,134.5079999999998,247.6170000000002,149.79299999999967,403.52399999999943,229.27499999999964,369.89700000000084,210.93299999999908,265.95900000000074,311.8139999999985,305.7000000000007,259.84500000000116,122.27999999999884,385.1820000000007,217.04699999999866,152.85000000000218,226.21800000000076,287.35799999999654,152.85000000000218,320.9850000000006,162.020999999997,180.3630000000012,149.79300000000148,333.21299999999974,275.130000000001,269.0159999999996,696.9959999999992
"Tuscaloosa, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.069,3.069,3.069000000000001,0.0,0.0,0.0,3.068999999999999,0.0,6.138000000000002,3.068999999999999,6.137999999999998,3.068999999999999,15.344999999999999,15.344999999999999,6.138000000000005,3.0690000000000026,0.0,15.344999999999999,3.0690000000000026,3.0689999999999884,21.483000000000004,12.275999999999996,9.207000000000008,49.103999999999985,42.96600000000001,15.344999999999999,18.414000000000016,3.06899999999996,15.345000000000027,27.62099999999998,58.311000000000035,3.06899999999996,6.138000000000034,27.62099999999998,3.069000000000017,64.44900000000001,-36.82800000000003,12.27600000000001,24.55200000000002,12.275999999999954,24.55200000000002,24.55200000000002,27.62099999999998,9.206999999999994,21.48300000000006,9.206999999999994,12.275999999999954,12.275999999999954,15.345000000000027,6.138000000000034,18.413999999999987,6.138000000000034,58.31099999999992,18.413999999999987,15.345000000000027,33.759000000000015,30.690000000000055,15.344999999999914,12.276000000000067,18.413999999999987,21.482999999999947,33.759000000000015,52.173,39.89700000000005,39.89700000000005,0.0,70.58699999999999,58.31099999999992,135.03600000000006,70.58699999999999,30.690000000000055,49.103999999999814,76.72500000000014,162.65699999999993,150.38100000000009,76.72499999999991,141.1740000000002,128.89799999999968,55.24200000000019,138.10500000000002,76.72499999999991,52.17300000000023,18.41399999999976,46.034999999999854,55.24200000000019,135.03600000000006,58.310999999999694,64.44900000000007,125.82900000000018,101.27700000000004,187.20899999999983,263.9340000000002,257.7959999999998,159.5880000000002,156.51900000000023,193.34699999999975,39.896999999999935,150.3810000000003,184.13999999999942,55.24200000000019,113.55299999999988,70.58700000000044,101.27700000000004,85.93199999999979,239.3819999999996,171.8640000000005,141.17399999999998,18.41399999999976,245.52000000000044,122.75999999999931,260.8650000000007,178.0019999999995,245.52000000000044,116.62199999999939,190.27800000000025,101.27700000000004,79.79399999999987,113.55299999999988,494.1090000000004,128.89800000000014,141.17399999999998,178.0020000000004,162.65699999999924,104.34599999999955,190.27800000000025,288.4860000000008,193.34699999999975,227.10599999999977,260.8649999999998,193.34699999999975,101.27700000000004,107.41500000000087,147.3119999999999,257.7960000000003,313.03799999999865,104.34600000000137,337.5899999999983,138.10500000000138,85.93199999999888,193.34699999999975,156.51900000000023,165.72600000000057,187.20900000000074,184.13999999999942,52.173000000000684,104.34599999999955,230.17499999999927,144.2430000000004,291.5550000000003,85.93199999999888
"Baldwin, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.136,0.0,0.0,0.0,0.0,0.0,3.136,0.0,0.0,3.136000000000001,3.1359999999999992,0.0,3.1359999999999992,0.0,15.68,15.68,9.408000000000001,3.136000000000003,12.543999999999997,6.272000000000006,9.408000000000001,3.1359999999999957,15.680000000000007,12.543999999999997,12.544000000000011,21.951999999999998,31.359999999999985,0.0,21.951999999999998,15.680000000000007,21.951999999999998,28.22399999999999,34.49600000000004,12.543999999999983,3.136000000000024,18.815999999999974,15.680000000000007,9.408000000000015,18.815999999999974,28.22399999999999,34.49600000000004,12.543999999999983,21.951999999999998,21.951999999999998,21.952000000000055,9.407999999999902,6.272000000000048,3.1359999999999673,3.136000000000081,18.815999999999917,18.81600000000003,3.1359999999999673,3.136000000000081,21.951999999999998,28.223999999999933,9.408000000000015,25.087999999999965,18.81600000000003,6.272000000000048,9.408000000000015,12.543999999999983,37.63199999999995,3.136000000000081,31.3599999999999,0.0,18.81600000000003,6.272000000000048,25.087999999999965,0.0,3.1359999999999673,6.272000000000048,3.1359999999999673,0.0,9.408000000000015,15.680000000000064,-3.136000000000081,3.136000000000081,3.1359999999999673,21.951999999999998,50.17599999999993,6.272000000000048,0.0,3.1359999999999673,9.408000000000015,25.087999999999965,28.22400000000016,18.815999999999804,15.680000000000064,18.81600000000003,37.63200000000006,31.3599999999999,25.087999999999965,9.40800000000013,12.543999999999869,18.81600000000003,9.40800000000013,28.223999999999933,37.63200000000006,21.951999999999998,31.3599999999999,21.951999999999998,40.76800000000003,43.903999999999996,40.76800000000003,119.16799999999989,125.44000000000005,62.72000000000003,213.24800000000005,116.03199999999993,72.12800000000016,150.5279999999998,294.7840000000001,56.447999999999865,56.44800000000032,94.07999999999993,269.6959999999999,185.0239999999999,235.20000000000027,175.61599999999999,116.0319999999997,219.52000000000044,203.84000000000015,172.47999999999956,326.14400000000023,254.01599999999962,282.2400000000007,407.6799999999994,370.0479999999998,238.33600000000024,279.10400000000027,294.78399999999965,831.04,163.07200000000012,467.26400000000103,144.2559999999994,194.4320000000007,203.83999999999833,228.9280000000017,376.3199999999997,228.92799999999988,128.5759999999991,254.01599999999962,131.71200000000135,172.47999999999956,188.15999999999985,181.88800000000083,206.97599999999875,188.15999999999985,131.71200000000135
"Lee, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.952,0.0,5.904,11.808000000000002,8.855999999999998,2.9520000000000017,2.951999999999998,11.808,8.856000000000002,20.663999999999994,41.328,20.664,17.71199999999999,8.856000000000023,2.951999999999998,50.184,2.951999999999998,23.615999999999985,23.616000000000014,23.615999999999985,14.759999999999991,17.71199999999999,23.616000000000042,44.27999999999997,168.264,47.23199999999997,26.567999999999984,17.71199999999999,44.280000000000086,41.327999999999975,44.27999999999997,59.039999999999964,26.568000000000097,17.71199999999999,17.71199999999999,5.903999999999996,8.855999999999995,23.615999999999985,35.42399999999998,26.567999999999984,32.472000000000094,20.663999999999987,20.663999999999987,8.855999999999995,26.567999999999984,26.567999999999984,14.759999999999991,0.0,17.71199999999999,8.855999999999995,8.855999999999995,14.759999999999991,5.903999999999996,20.663999999999987,5.903999999999996,8.855999999999995,8.855999999999995,11.807999999999993,8.855999999999995,11.807999999999993,32.47199999999998,-8.855999999999995,11.80800000000022,2.951999999999998,8.855999999999995,-5.903999999999996,32.47199999999998,17.71199999999999,11.807999999999993,50.18399999999997,29.519999999999982,35.42399999999998,35.42399999999998,11.807999999999993,20.663999999999987,8.855999999999995,11.807999999999993,23.615999999999985,50.18399999999997,5.903999999999996,17.71199999999999,11.80800000000022,2.951999999999998,44.27999999999997,20.663999999999987,29.519999999999982,14.759999999999991,17.71199999999999,59.039999999999964,50.18399999999997,56.087999999999965,53.13599999999997,91.51200000000017,85.60799999999972,41.32800000000043,91.51199999999972,79.70400000000018,41.327999999999975,32.47199999999975,85.60800000000017,106.27199999999993,174.16800000000012,129.88799999999992,73.80000000000018,53.13599999999997,59.039999999999964,218.44799999999987,91.51200000000017,67.89599999999973,165.3119999999999,174.16800000000012,168.26400000000012,73.80000000000018,79.70399999999972,70.84799999999996,94.46399999999994,106.27199999999993,129.88799999999992,118.07999999999993,73.80000000000018,174.16800000000057,215.49599999999919,227.3040000000001,206.64000000000033,191.8800000000001,126.9359999999997,118.07999999999993,159.40800000000036,144.64800000000014,106.27199999999993,174.16799999999967,91.51199999999972,118.08000000000084,112.17599999999948,123.98400000000038,109.22400000000016,109.22399999999925,100.3680000000004,132.84000000000015,94.46399999999994,115.1279999999997,44.279999999999745,44.280000000000655,115.1279999999997,112.17600000000039,147.59999999999945,112.17599999999948,59.04000000000087
"Shelby, Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.624,2.8120000000000003,2.8119999999999994,0.0,14.06,2.8119999999999976,16.872,2.8119999999999976,14.060000000000002,14.059999999999995,42.18000000000001,30.932000000000002,47.803999999999974,5.624000000000024,19.683999999999997,25.307999999999993,-5.623999999999995,8.435999999999979,33.74400000000003,39.367999999999995,33.74399999999997,50.615999999999985,14.060000000000002,25.307999999999993,16.872000000000014,50.61600000000004,5.62399999999991,30.932000000000016,47.80400000000009,47.803999999999974,14.059999999999945,16.87200000000007,2.811999999999898,16.87200000000007,25.307999999999993,33.74400000000003,11.247999999999934,2.812000000000012,11.248000000000047,14.059999999999945,30.932000000000016,11.248000000000047,36.555999999999926,19.68399999999997,2.812000000000012,2.812000000000012,0.0,0.0,11.248000000000047,8.436000000000035,2.811999999999898,19.684000000000083,11.247999999999934,25.307999999999993,28.120000000000005,11.248000000000047,14.059999999999945,8.435999999999922,22.496000000000095,8.435999999999922,25.307999999999993,2.8120000000001255,19.68399999999997,2.811999999999898,14.060000000000173,0.0,28.11999999999989,14.059999999999945,2.8120000000001255,19.68399999999997,16.87200000000007,39.36799999999994,56.24000000000001,8.435999999999922,39.36799999999994,36.55600000000004,16.87200000000007,39.36799999999994,67.48800000000006,0.0,0.0,16.87200000000007,22.495999999999867,16.87200000000007,19.68399999999997,14.059999999999945,16.87200000000007,19.68399999999997,36.55600000000004,44.99199999999996,53.42800000000011,61.863999999999805,50.615999999999985,53.42800000000011,36.55600000000004,67.48799999999983,81.54800000000023,53.427999999999884,16.871999999999844,39.36799999999994,89.98400000000038,89.98399999999992,98.42000000000007,104.04399999999987,81.54799999999977,25.307999999999993,188.404,106.85600000000022,73.11200000000008,70.29999999999973,188.404,143.41200000000026,160.28399999999965,140.60000000000036,64.67599999999993,163.096,284.01200000000017,146.22399999999925,244.64400000000023,140.60000000000036,222.14800000000014,168.71999999999935,168.72000000000025,286.8239999999996,239.02000000000044,275.576,188.40399999999954,227.77199999999993,171.53200000000015,182.78000000000065,205.27599999999984,239.01999999999953,202.46399999999994,134.97600000000057,140.59999999999945,126.53999999999996,188.40399999999954,160.28400000000147,230.58399999999892,134.97600000000057,137.78800000000047,157.47199999999975,84.35999999999876,123.72800000000097,179.96799999999894,154.65999999999985,174.34400000000096,67.48799999999937
